invoice_x10,sol_x10,quantity,product_x10
256376,398694,1.000,2352
256377,399515,1.000,2352
256378,399499,1.000,2352
256379,399523,1.000,2512
256380,399517,1.000,2352
256380,399518,1.000,2352
256381,399508,1.000,2352
256381,399509,1.000,2352
256382,399497,1.000,2352
256382,399498,1.000,2352
256383,399536,1.000,2352
256384,399486,1.000,2359
256384,399487,1.000,2359
256385,399489,1.000,2359
256385,399490,1.000,2359
256386,399418,1.000,2441
256386,399419,4.000,134
256387,399506,1.000,308
256388,399496,1.000,308
256389,399502,1.000,525
256390,399493,1.000,2359
256390,399494,1.000,2359
256391,399120,1.000,399
256392,399520,1.000,2359
256393,399369,1.000,2398
256394,399491,1.000,2359
256395,399373,1.000,2424
256396,399383,1.000,399
256397,398926,1.000,2426
256397,398927,1.000,2433
256398,399637,1.000,2428
256399,399550,1.000,2446
256400,399165,1.000,2359
256401,399639,1.000,308
256402,399516,1.000,2359
256403,399521,1.000,2359
256403,399522,1.000,2359
256404,399243,1.000,2372
256405,399130,1.000,2356
256406,399529,1.000,531
256407,399642,1.000,2441
256407,399643,14.000,134
256408,399646,12.000,660
256409,399645,1.000,2352
256410,399647,1.000,3408
256411,399648,8.000,660
256412,399359,1.000,2359
256412,399360,1.000,2359
256413,399455,1.000,2424
256414,399449,1.000,2359
256415,399535,1.000,2359
256416,399533,1.000,2449
256417,399513,1.000,2488
256417,399514,1.000,2467
256418,399477,1.000,2359
256418,399478,1.000,2359
256419,399474,1.000,2449
256420,399451,1.000,2359
256420,399452,1.000,2359
256421,399450,1.000,2446
256422,399446,1.000,2359
256422,399447,1.000,2359
256423,399534,1.000,2352
256424,399433,1.000,2359
256424,399434,1.000,2359
256425,399527,1.000,2424
256426,399511,1.000,2359
256426,399512,1.000,2359
256427,399507,1.000,2359
256428,399492,1.000,2359
256429,399488,1.000,2359
256430,399483,1.000,2385
256431,399481,1.000,2356
256432,399480,1.000,2359
256433,399479,1.000,2446
256434,399469,1.000,2359
256434,399470,1.000,2359
256435,399468,1.000,2359
256436,399467,1.000,2359
256437,399466,1.000,2356
256438,399464,1.000,2359
256438,399465,1.000,2359
256439,399458,1.000,2359
256439,399459,1.000,2359
256440,399453,1.000,2359
256440,399454,1.000,2359
256441,399441,1.000,2359
256441,399442,1.000,2359
256442,399438,1.000,2359
256442,399439,2.000,134
256442,399440,1.000,2359
256443,399429,1.000,2359
256443,399430,1.000,2359
256444,399428,1.000,2359
256445,399427,1.000,2359
256446,399754,1.000,522
256447,399638,1.000,2352
256448,399685,1.000,2352
256448,399686,1.000,2352
256449,399666,1.000,2352
256449,399667,1.000,2359
256450,399656,1.000,2352
256450,399657,1.000,2352
256451,399691,1.000,2352
256451,399692,1.000,2352
256452,399619,1.000,2457
256452,399620,1.000,405
256453,399380,1.000,2449
256454,399417,1.000,2471
256455,399613,1.000,2495
256456,399384,1.000,2449
256457,399304,1.000,2428
256458,399679,1.000,2359
256458,399680,1.000,2359
256459,399665,1.000,2356
256460,398741,1.000,2428
256460,398742,1.000,2430
256461,399752,1.000,2359
256462,399649,1.000,2352
256463,399600,1.000,2446
256464,399561,1.000,2446
256465,399591,1.000,308
256466,399576,1.000,2387
256467,399604,1.000,308
256468,399584,1.000,2359
256469,399564,1.000,2359
256469,399565,1.000,2359
256470,399379,1.000,2424
256471,399343,1.000,2365
256471,399344,2.000,684
256472,399339,1.000,2359
256472,399340,1.000,2359
256473,399658,1.000,2359
256474,399578,1.000,2356
256474,399579,1.000,2356
256475,399726,1.000,2359
256476,398954,1.000,2428
256476,398955,1.000,2430
256477,399349,1.000,2397
256478,399771,1.000,2359
256478,399772,1.000,2359
256479,399585,1.000,308
256480,399721,1.000,2356
256481,399519,1.000,399
256482,399596,1.000,2387
256483,399375,1.000,2386
256484,399381,1.000,2378
256485,399557,1.000,2359
256485,399558,1.000,2359
256486,399607,1.000,2356
256486,399608,1.000,2356
256488,399503,1.000,2359
256489,399525,1.000,2359
256490,399530,1.000,2363
256491,399633,1.000,2356
256491,399634,1.000,2356
256492,399572,1.000,2359
256492,399573,1.000,2359
256494,399562,1.000,2359
256494,399563,1.000,2359
256495,399531,1.000,2449
256497,399551,1.000,2359
256499,399524,1.000,2359
256500,399538,1.000,2356
256500,399539,1.000,2356
256501,399614,1.000,2359
256501,399615,1.000,2359
256503,399545,1.000,2491
256504,399580,1.000,2387
256505,399687,1.000,2488
256506,399554,1.000,2359
256507,399500,1.000,2457
256507,399501,1.000,405
256508,399546,1.000,2359
256508,399547,1.000,2359
256509,399574,1.000,2359
256509,399575,1.000,2359
256510,399764,1.000,308
256511,399566,1.000,2359
256511,399567,1.000,2359
256512,399724,1.000,2359
256512,399725,1.000,2359
256513,399378,1.000,399
256514,399505,1.000,2359
256515,399526,1.000,308
256516,399621,1.000,2359
256516,399622,1.000,2359
256517,399677,1.000,2356
256517,399678,1.000,2359
256518,399708,1.000,2359
256518,399709,1.000,2359
256519,399593,1.000,308
256520,399605,1.000,2457
256520,399606,1.000,405
256521,399548,1.000,2457
256521,399549,1.000,405
256522,399734,1.000,2359
256522,399735,1.000,2359
256523,399510,1.000,2363
256524,399609,1.000,2356
256524,399610,1.000,2356
256525,398908,1.000,2416
256526,399762,1.000,2359
256526,399763,1.000,2359
256527,399532,1.000,2373
256528,399628,1.000,2359
256528,399629,1.000,2359
256529,399553,1.000,2428
256530,399731,1.000,2424
256531,399697,1.000,2390
256532,399775,1.000,2359
256532,399776,1.000,2359
256533,399773,1.000,2359
256533,399774,1.000,2359
256534,399802,1.000,2372
256535,399732,1.000,2443
256535,399733,1.000,3120
256536,399662,1.000,2359
256537,399760,1.000,2385
256538,399603,1.000,2488
256539,399594,1.000,2457
256539,399595,1.000,112
256540,399719,1.000,2356
256540,399720,1.000,2356
256541,399800,1.000,2359
256541,399801,1.000,2359
256542,399174,1.000,2428
256542,399175,1.000,2430
256543,399528,1.000,2424
256544,399582,1.000,2446
256545,399616,1.000,2352
256546,399559,1.000,2356
256547,399821,1.000,2352
256547,399822,1.000,2352
256548,399611,1.000,2352
256548,399612,1.000,2352
256549,399790,1.000,2352
256549,399791,1.000,2352
256550,399597,1.000,2352
256550,399598,1.000,2352
256551,399765,1.000,2352
256552,399830,1.000,3738
256552,399831,1.000,3738
256553,399729,1.000,2352
256553,399730,1.000,2352
256554,399694,1.000,2352
256554,399695,1.000,2352
256555,399601,1.000,2352
256555,399602,1.000,2352
256555,399676,3.000,134
256556,399698,1.000,2491
256557,399846,1.000,2352
256558,399700,1.000,2467
256559,399672,1.000,2359
256559,399673,1.000,2359
256560,399659,1.000,2359
256561,399654,1.000,2359
256561,399655,1.000,2359
256562,399674,1.000,2359
256562,399675,1.000,2359
256563,399668,1.000,2359
256563,399669,1.000,2359
256564,399663,1.000,2359
256564,399664,1.000,2359
256565,399652,1.000,2359
256565,399653,1.000,2359
256566,399780,1.000,2360
256567,399737,1.000,2359
256567,399738,1.000,2359
256568,399736,1.000,2356
256569,399688,1.000,2359
256570,399683,1.000,2359
256570,399684,1.000,2359
256571,399650,1.000,2359
256571,399651,1.000,2359
256572,399728,1.000,2467
256573,399670,1.000,2356
256573,399671,1.000,2356
256574,399749,1.000,2352
256575,399879,1.000,2352
256575,399880,1.000,2352
256576,399854,1.000,2352
256576,399855,1.000,1323
256577,399850,1.000,2352
256577,399851,1.000,2352
256578,399847,1.000,2352
256578,399848,1.000,2352
256579,399895,1.000,2352
256579,399896,1.000,2352
256580,399877,1.000,2512
256581,399723,1.000,2397
256582,399717,1.000,2359
256582,399718,1.000,2359
256583,399710,1.000,2359
256583,399711,1.000,2359
256584,399705,1.000,2359
